fact_table_natural_key (txn_id),accm_txn_complete_time
CA-2014-100006,2022-05-13 19:55:53
CA-2014-100090,2022-05-10 12:55:02
CA-2014-100293,2022-05-13 02:07:36
CA-2014-100328,2022-05-11 16:53:46
CA-2014-100363,2022-05-15 06:30:16
CA-2014-100391,2022-05-11 12:39:47
CA-2014-100678,2022-05-11 18:42:57
CA-2014-100706,2022-05-13 01:56:42
CA-2014-100762,2022-05-14 23:55:43
CA-2014-100860,2022-05-11 16:41:40
CA-2014-100867,2022-05-11 00:33:28
CA-2014-100881,2022-05-15 05:30:31
CA-2014-100895,2022-05-12 08:20:33
CA-2014-100916,2022-05-15 03:30:43
CA-2014-100972,2022-05-14 04:52:34
CA-2014-101147,2022-05-12 07:37:54
CA-2014-101175,2022-05-11 07:50:03
CA-2014-101266,2022-05-13 12:28:12
CA-2014-101364,2022-05-11 14:50:47
CA-2014-101392,2022-05-14 03:52:31
CA-2014-101427,2022-05-15 01:25:53
CA-2014-101462,2022-05-14 22:15:17
CA-2014-101476,2022-05-10 21:54:16
CA-2014-101560,2022-05-12 21:12:35
CA-2014-101602,2022-05-11 02:35:07
CA-2014-101770,2022-05-12 17:31:53
CA-2014-101833,2022-05-11 00:44:21
CA-2014-101931,2022-05-13 05:20:55
CA-2014-102008,2022-05-12 07:36:11
CA-2014-102085,2022-05-13 21:25:22
CA-2014-102274,2022-05-11 16:04:01
CA-2014-102295,2022-05-14 14:25:28
CA-2014-102330,2022-05-13 20:37:38
CA-2014-102645,2022-05-12 13:42:16
CA-2014-102652,2022-05-13 01:31:44
CA-2014-102673,2022-05-14 14:23:57
CA-2014-102869,2022-05-12 13:32:46
CA-2014-102988,2022-05-11 16:06:14
CA-2014-103058,2022-05-10 22:21:45
CA-2014-103086,2022-05-11 06:31:32
CA-2014-103100,2022-05-13 09:23:48
CA-2014-103191,2022-05-14 07:20:21
CA-2014-103219,2022-05-14 10:32:22
CA-2014-103310,2022-05-12 02:59:23
CA-2014-103317,2022-05-13 08:28:02
CA-2014-103331,2022-05-12 05:07:40
CA-2014-103366,2022-05-10 17:35:14
CA-2014-103373,2022-05-11 18:51:09
CA-2014-103401,2022-05-11 19:51:22
CA-2014-103429,2022-05-11 05:01:45
CA-2014-103492,2022-05-11 18:33:48
CA-2014-103527,2022-05-11 13:10:19
CA-2014-103590,2022-05-11 13:57:58
CA-2014-103660,2022-05-11 16:40:04
CA-2014-103702,2022-05-12 21:34:57
CA-2014-103744,2022-05-13 00:28:54
CA-2014-103800,2022-05-11 19:01:09
