Customer ID,Country,City,State,Postal Code,Region
AA-10315,United States,Minneapolis,Minnesota,55407,Central
AA-10375,United States,Mesa,Arizona,85204,West
AA-10480,United States,Concord,North Carolina,28027,South
AA-10645,United States,Chester,Pennsylvania,19013,East
AB-10015,United States,Seattle,Washington,98103,West
AB-10060,United States,New York City,New York,10009,East
AB-10105,United States,Phoenix,Arizona,85023,West
AB-10150,United States,Long Beach,New York,11561,East
AB-10165,United States,Los Angeles,California,90036,West
AB-10255,United States,Lorain,Ohio,44052,East
AB-10600,United States,Tucson,Arizona,85705,West
AC-10420,United States,San Francisco,California,94122,West
AC-10450,United States,Minneapolis,Minnesota,55407,Central
AC-10615,United States,New York City,New York,10009,East
AC-10660,United States,Huntsville,Texas,77340,Central
AD-10180,United States,Houston,Texas,77041,Central
AF-10870,United States,College Station,Texas,77840,Central
AF-10885,United States,Louisville,Kentucky,40214,South
AG-10270,United States,West Jordan,Utah,84084,West
AG-10300,United States,Los Angeles,California,90049,West
AG-10330,United States,Stockton,California,95207,West
AG-10390,United States,Cincinnati,Ohio,45231,East
AG-10495,United States,Philadelphia,Pennsylvania,19140,East
AG-10525,United States,Saint Petersburg,Florida,33710,South
AG-10675,United States,Houston,Texas,77036,Central
AG-10765,United States,Philadelphia,Pennsylvania,19120,East
AG-10900,United States,Tucson,Arizona,85705,West
AH-10030,United States,Philadelphia,Pennsylvania,19134,East
AH-10075,United States,New York City,New York,10011,East
AH-10120,United States,Tucson,Arizona,85705,West
AH-10195,United States,Tamarac,Florida,33319,South
AH-10210,United States,Brentwood,California,94513,West
AH-10465,United States,New York City,New York,10035,East
AH-10585,United States,Chicago,Illinois,60623,Central
AH-10690,United States,New York City,New York,10024,East
AI-10855,United States,Philadelphia,Pennsylvania,19120,East
AJ-10780,United States,Springfield,Virginia,22153,South
AJ-10795,United States,Saint Petersburg,Florida,33710,South
AJ-10945,United States,Wilmington,North Carolina,28403,South
AJ-10960,United States,Rochester,New York,14609,East
AM-10360,United States,Grand Prairie,Texas,75051,Central
AM-10705,United States,Auburn,Alabama,36830,South
AO-10810,United States,Los Angeles,California,90045,West
AP-10720,United States,New York City,New York,10035,East
AP-10915,United States,Palm Coast,Florida,32137,South
AR-10345,United States,Lawrence,Massachusetts,1841,East
AR-10405,United States,Franklin,Massachusetts,2038,East
AR-10510,United States,Philadelphia,Pennsylvania,19134,East
AR-10540,United States,New York City,New York,10024,East
AR-10570,United States,Columbus,Georgia,31907,South
AR-10825,United States,Vancouver,Washington,98661,West
AS-10045,United States,Jacksonville,North Carolina,28540,South
AS-10090,United States,Charlottesville,Virginia,22901,South
AS-10135,United States,New York City,New York,10035,East
AS-10225,United States,New York City,New York,10024,East
AS-10240,United States,Tampa,Florida,33614,South
AS-10285,United States,San Francisco,California,94109,West
AS-10630,United States,Pasadena,Texas,77506,Central
AT-10435,United States,Los Angeles,California,90004,West
AT-10735,United States,Seattle,Washington,98115,West
AW-10840,United States,Allen,Texas,75002,Central
AW-10930,United States,Aurora,Illinois,60505,Central
AY-10555,United States,Oceanside,California,92054,West
AZ-10750,United States,New York City,New York,10009,East
BB-10990,United States,Inglewood,California,90301,West
BB-11545,United States,Houston,Texas,77070,Central
BC-11125,United States,Peoria,Arizona,85345,West
BD-11320,United States,San Francisco,California,94110,West
BD-11500,United States,Green Bay,Wisconsin,54302,Central
BD-11560,United States,Fresno,California,93727,West
BD-11605,United States,Lawrence,Massachusetts,1841,East
BD-11620,United States,San Francisco,California,94122,West
BD-11635,United States,Bowling Green,Kentucky,42104,South
BD-11725,United States,Richmond,Kentucky,40475,South
BD-11770,United States,Houston,Texas,77070,Central
BE-11335,United States,Jackson,Michigan,49201,Central
BE-11410,United States,Lancaster,Ohio,43130,East
BE-11455,United States,Olathe,Kansas,66062,Central
BF-10975,United States,Charlotte,North Carolina,28205,South
BF-11005,United States,Pasadena,California,91104,West
BF-11020,United States,Green Bay,Wisconsin,54302,Central
BF-11080,United States,Baltimore,Maryland,21215,East
BF-11170,United States,Los Angeles,California,90036,West
BF-11215,United States,Albuquerque,New Mexico,87105,West
BF-11275,United States,Tucson,Arizona,85705,West
BG-11035,United States,Monroe,Louisiana,71203,South
BG-11695,United States,Cincinnati,Ohio,45231,East
BG-11740,United States,Philadelphia,Pennsylvania,19120,East
BH-11710,United States,Los Angeles,California,90032,West
BK-11260,United States,New York City,New York,10035,East
BM-11140,United States,San Antonio,Texas,78207,Central
BM-11575,United States,New York City,New York,10035,East
BM-11650,United States,New York City,New York,10035,East
BM-11785,United States,Columbus,Ohio,43229,East
BN-11470,United States,Cary,North Carolina,27511,South
BN-11515,United States,Los Angeles,California,90049,West
BO-11350,United States,Los Angeles,California,90045,West
BO-11425,United States,Richmond,Kentucky,40475,South
BP-11050,United States,Cranston,Rhode Island,2920,East
BP-11095,United States,Peoria,Illinois,61604,Central
BP-11155,United States,Columbus,Georgia,31907,South
BP-11185,United States,Arvada,Colorado,80004,West
BP-11230,United States,Spokane,Washington,99207,West
BP-11290,United States,Evanston,Illinois,60201,Central
BS-11365,United States,New York City,New York,10011,East
BS-11380,United States,Skokie,Illinois,60076,Central
BS-11590,United States,Gilbert,Arizona,85234,West
BS-11665,United States,Philadelphia,Pennsylvania,19143,East
BS-11755,United States,Denver,Colorado,80219,West
BS-11800,United States,New York City,New York,10011,East
BT-11305,United States,Costa Mesa,California,92627,West
BT-11395,United States,Detroit,Michigan,48227,Central
BT-11440,United States,Littleton,Colorado,80122,West
BT-11485,United States,Clinton,Maryland,20735,East
BT-11530,United States,Los Angeles,California,90036,West
BT-11680,United States,Newark,Ohio,43055,East
BV-11245,United States,Des Moines,Iowa,50315,Central
BW-11065,United States,Raleigh,North Carolina,27604,South
BW-11110,United States,Milwaukee,Wisconsin,53209,Central
BW-11200,United States,Boynton Beach,Florida,33437,South
CA-11965,United States,Hoover,Alabama,35244,South
CA-12055,United States,Houston,Texas,77070,Central
CA-12265,United States,Chicago,Illinois,60610,Central
CA-12310,United States,Cincinnati,Ohio,45231,East
CA-12775,United States,Tampa,Florida,33614,South
